Nom,siren,Descriptif,Profil,Nature (X),Tech (Y),Domaine,Marché Géographique,Client,Distrib.,Biz Model,Date création,Date cessation,APE (ref),Catégorie d'entreprise,Statut juridique,Adresse siège,Département,Nationalité,Soc à Mission,Site web
Ete Indien,418924643,Programme d'activité physique adaptée visant à améliorer la santé et le bien-être des seniors.,Service assisté,Service,Hybride,Santé,National,Bénéficiaires,B2B2C,Abonnement,1998/05/11,,68.20A,,Société civile,45 RUE LOUIS PASTEUR 76390 AUMALE,76,France,No,https://www.ete-indien-editions.fr
CDIET,811395656,"Consultations diététiques en ligne offrant un accompagnement nutritionnel personnalisé pour diverses conditions de santé, assuré par des diététiciennes qualifiées via téléconsultation.",Service assisté,Service,Hybride,Santé,National,EMS,B2B,Pay to play,2015/05/13,,74.90B,PME,Société par actions simplifiée,45 ALLEES JEAN JAURES 31000 TOULOUSE,31,France,No,https://www.c-diet.com/
CareFormi,878089077,"Accompagnement sur mesure pour les seniors et leurs aidants, facilitant le maintien à domicile, simplifiant les démarches administratives et coordonnant les aides nécessaires tout en offrant des solutions personnalisées pour améliorer le confort et anticiper la perte d’autonomie.",Service assisté,Service,Hybride,Vie pratique,Local,Bénéficiaires,B2C,Abonnement,2019/10/16,,96.09Z,PME,Entrepreneur individuel,18 B CHE DES PUITS DES VIGNES 69450 SAINT CYR AU MONT D OR,69,France,No,https://www.careformi.com
Cap Retraite,408760023,Portail d'orientation pour les particuliers vers des solutions d'hébergement ou d'adaptation du domicile.,Service assisté,Service,Hybride,Vie pratique,National,Bénéficiaires,B2C,Marketplace,1996/08/01,,88.10B,PME,Société par actions simplifiée,91 RUE DU FAUBOURG SAINT-HONORE 75008 PARIS,75,France,No,https://www.capretraite.fr/
Allomamy,909288250,"Des appels téléphoniques quotidiens, joyeux et pleins d'humour, apportent une dose quotidienne de bonne humeur aux bénéficiaires.",Service assisté,Service,Hybride,Lifestyle,National,Bénéficiaires,"B2B2C, B2C",Abonnement,2022/01/12,,88.10A,PME,Société par actions simplifiée,7 BOULEVARD DE LA MARNE 59420 MOUVAUX,59,France,No,https://www.allomamy.com/
A2Micile,924498017,"Aide à domicile pour les bénéficiaires, axée sur l'action sociale sans hébergement, avec un modèle économique basé sur l'abonnement.",Service assisté,Service,Hybride,Vie pratique,National,Bénéficiaires,B2C,Abonnement,2023/12/04,,88.99B,,Fondation,9 ALLEE CERES 67200 STRASBOURG,67,France,No,https://www.azae.com/qui-sommes-nous/groupe-a2micile/
Should’R,924828874,"Plateforme en ligne facilitant la gestion des démarches administratives, financières et cérémonielles liées à la fin de vie ou au décès d'un proche.",Service automatisé,Service,High Tech,Vie pratique,National,Bénéficiaires,B2C,Pay to play,2024/04/01,,62.01Z,,Société par actions simplifiée,65 RUE DE L'AMIRAL MOUCHEZ 75013 PARIS,75,France,No,https://should-r.com/
Cybille,901858373,"Un coffre-fort numérique qui permet de centraliser et de transmettre les dernières volontés, souvenirs et documents importants à des proches après le décès.",Service automatisé,Service,High Tech,Vie pratique,National,Entreprises,B2B,Abonnement,2021/07/26,,58.29C,PME,Société par actions simplifiée,1 PLACE DE LA GARE 35000 RENNES,35,France,No,https://www.cybille.fr/
Repos digital,912230661,"Accompagnement pour la gestion des données numériques des défunts, aidant les familles à clôturer les comptes en ligne et à récupérer les souvenirs et fonds qui leur reviennent.",Service automatisé,Service,High Tech,Vie pratique,National,Proches,"B2B2C, B2C",Pay to play,2022/03/29,,58.29C,PME,Société par actions simplifiée,14 AVENUE DU GENERAL DE GAULLE 94160 SAINT-MANDE,94,France,No,https://www.reposdigital.fr/
Mon petit testament,931386361,"Plateforme permettant d'exprimer et de partager ses dernières volontés de manière simple et accessible, sans passer par un notaire.",Service automatisé,Service,High Tech,Vie pratique,National,Bénéficiaires,B2C,Abonnement,2024/07/16,,62.01Z,,Association loi 1901 ou assimilé,40 RUE D'ENGHIEN 75010 PARIS,75,France,No,https://www.monpetittestament.com/
Masuccession.fr,828719773,Aide à calculer et optimiser les droits de succession pour réduire les coûts et mieux protéger les héritiers.,Service automatisé,Service,High Tech,Finances,National,Entreprises,"B2B, B2B2C",Commission,2017/03/09,,66.22Z,PME,Société par actions simplifiée,15 RUE VIOLET 75015 PARIS,75,France,No,https://masuccession.fr/calculez-et-reduisez-vos-droits-de-succession
Tranquilite.fr,911202364,"Accompagnement pour gérer rapidement et sans erreur les formalités administratives après un décès, y compris les demandes d’aides financières et la récupération de capitaux non réclamés.",Service automatisé,Service,High Tech,Vie pratique,National,Entreprises,"B2B, B2B2C",Abonnement,2022/03/04,,96.09Z,PME,Société par actions simplifiée,2 RUE MAXIME GUILLOT 21240 TALANT,21,France,No,https://www.tranquillite.fr/
Advitam,814361291,"Une entreprise de pompes funèbres organise des obsèques de manière humaine, transparente et abordable, en offrant un accompagnement personnalisé et des services accessibles en ligne.",Service automatisé,Service,High Tech,Vie pratique,National,Proches,"B2B2C, B2C",Commission,2015/10/23,,96.03Z,PME,Société par actions simplifiée,21 RUE RAMUS 75020 PARIS,75,France,No,https://advitam.fr/
CulturMoov,822855417,"Lancement en 2022 d'une plateforme de réservation et de visionnage de visites guidées et de conférences en ligne, offrant plus de 2000 offres animées par près de 400 experts, destinée aux retraités à domicile et aux opérateurs de prévention santé, avec pour mission d'améliorer la qualité de vie des seniors à travers des solutions culturelles et technologiques innovantes.",Service automatisé,Service,High Tech,Lifestyle,International (Monde),Bénéficiaires,"B2B, B2B2C, B2C, B2G",Abonnement,2016/09/28,,62.01Z,PME,Société par actions simplifiée,1 CENTRE COMMERCIAL DE LA TOUR 93120 LA COURNEUVE,93,France,No,https://culturmoov.com/
Major par JABI,891212771,"Gestion des services des établissements pour seniors à travers un logiciel connecté à une application, permettant de diffuser des informations en temps réel sur divers supports.",Service automatisé,Service,High Tech,Communication,National,EMS,B2B,Abonnement,2020/11/12,,62.01Z,PME,Société par actions simplifiée,1137 A AVENUE DES CHAMPS BLANCS 35510 CESSON-SEVIGNE,35,France,No,https://majorconnect.fr
Assist@,888659455,Solution digitale centralisant et automatisant la gestion administrative pour accompagner les familles lors des événements de vie.,Service automatisé,Service,High Tech,Communication,National,Proches,B2B2C,Abonnement,2020/07/22,,62.01Z,PME,Société par actions simplifiée,10 RUE EVARISTE GALOIS 63000 CLERMONT-FERRAND,63,France,No,https://www.assistarobase.fr/
Vocation Auxiliaire,931104798,"Agence de recrutement et organisme de formation dédié aux auxiliaires de vie, fournissant des profils qualifiés et des modules de formation continue pour améliorer la fidélisation des auxiliaires déjà en poste.",Service automatisé,Service,High Tech,Vie pratique,National,EMS,B2B,Abonnement,2024/07/15,,85.59A,,Société par actions simplifiée,37 RUE ROTTEMBOURG 75012 PARIS,75,France,No,www.vocation-auxiliaire.com
Famirelay,983624594,"Application mobile visant à aider les aidants et leur entourage, simplifiant la communication et la coordination autour d'un proche vulnérable, particulièrement utile pour le maintien à domicile d'un parent âgé, d'un conjoint malade ou d'un enfant en situation de handicap, tout en soutenant les collaborateurs aidants dans le contexte professionnel.",Service automatisé,Service,High Tech,Communication,International (Eu),Proches,"B2B, B2B2C",Abonnement,2024/01/16,,62.01Z,,Société par actions simplifiée,45 BOULEVARD DE LA PAIX 92400 COURBEVOIE,92,France,No,https://www.famirelay.com/
Medvir,980715494,"Outil d’aide à la décision médicale basé sur l’intelligence artificielle, permettant l’orientation, le diagnostic, la prévention et le suivi des patients, en particulier lors de téléconsultations et en épidémiologie.",Service automatisé,Service,High Tech,Santé,National,Soignants,B2B,Abonnement,2023/10/19,,62.01Z,,Société par actions simplifiée,23 25 23 AVENUE MAC-MAHON 75017 PARIS,75,France,No,https://medvir.fr/
Five Lives,903300242,"Application mobile visant à améliorer la santé cérébrale et la mémoire à travers des tests cognitifs, des jeux d’entraînement et un plan personnalisé fondé sur des données scientifiques pour réduire les risques de démence et stimuler les fonctions cognitives.",Service automatisé,Service,High Tech,Santé,International (Monde),Bénéficiaires,B2C,Abonnement,2021/09/01,,58.29C,PME,Société par actions simplifiée,LE HQ TOURS 1 IMPASSE DU PALAIS 37000 TOURS,37,France,No,https://www.fivelives.health/fr
Kompanion Care,983608571,"Utilisation de l'intelligence artificielle générative pour transformer les interactions familiales en soutiens thérapeutiques, favorisant ainsi la santé cognitive et émotionnelle des proches.",Service automatisé,Service,High Tech,Vie pratique,International (Eu),Etat et collectivités publiques,,Autre,2023/10/19,,72.19Z,,Société par actions simplifiée,26 RUE DE CHARONNE 75011 PARIS,75,France,No,https://www.kompanioncare.com/
Disons demain,439780339,"Site de rencontres en ligne destiné aux célibataires de 50 ans et plus, offrant des profils compatibles et des activités pour favoriser les rencontres.",Service automatisé,Service,High Tech,Lifestyle,National,Bénéficiaires,B2C,Abonnement,2001/10/30,,63.11Z,ETI,Société anonyme à conseil d'administration,53 RUE DE CHATEAUDUN 75009 PARIS,75,France,No,https://www.disonsdemain.fr/
Homelinks,831681754,Application mobile permettant de fédérer les aidants distants au bénéfice de personnes âgées et en situation de handicap.,Service automatisé,Service,High Tech,Communication,National,Bénéficiaires,"B2B, B2B2C, B2C",Autre,2017/07/20,,96.09Z,PME,Société par actions simplifiée,1 VILLA PILAUDO 92600 ASNIERES-SUR-SEINE,92,France,No,https://www.homelinks.eu/
Zenior,929770345,"Plateforme aidant les seniors et leurs familles à trouver des solutions de prise en charge adaptées à leurs besoins et budgets, telles que des EHPAD, des résidences seniors, de l'aide à domicile ou des colocations.",Service automatisé,Service,High Tech,Vie pratique,National,Bénéficiaires,"B2B, B2C",Commission,2024/06/05,,62.01Z,PME,Société par actions simplifiée,39 RUE DE DOUAI 75009 PARIS,75,France,No,https://www.poupette.org/
Bonjour Senior,838347706,"Portail dédié aux problématiques quotidiennes des personnes âgées, offrant un catalogue de produits et services pour l'autonomie, des informations pratiques, des comparaisons de prix et un accompagnement personnalisé dans les projets de maintien à domicile.",Service automatisé,Service,High Tech,Vie pratique,National,Bénéficiaires,B2C,Commission,2018/03/12,,63.12Z,ETI,Société par actions simplifiée,HELIOS 2 BOITE AUX LETTRES 207 116 ROUTE D'ESPAGNE 31100 TOULOUSE,31,France,No,https://www.bonjoursenior.fr/
Kunto,892798588,"Application de sport et nutrition conçue pour être inclusive, offrant des programmes adaptés aux personnes en situation de handicap pour favoriser les soins médicaux et la prévention santé.",Service automatisé,Service,High Tech,Santé,National,Bénéficiaires,B2C,Abonnement,2021/01/08,,63.11Z,PME,Société par actions simplifiée,3 RUE DE LA BALANCE 91350 GRIGNY,91,France,No,https://kunto.fr/
Elpyoo,922556741,"Plateforme digitale soutenant les aidants familiaux avec des ressources et des solutions adaptées pour mieux gérer leur quotidien, tout en offrant une assistance aux entreprises pour accompagner les salariés aidants.",Service automatisé,Service,High Tech,Vie pratique,National,Entreprises,B2B,Abonnement,2022/12/16,,62.01Z,PME,Société par actions simplifiée,TOUR D AYGOSI BATIMENT 15 67 COURS GAMBETTA 13100 AIX-EN-PROVENCE,13,France,No,www.elpyoo.com
Technosens Evolution,833295637,"Outil de communication multimédia facilitant le partage d’informations et la communication entre résidents, familles et professionnels dans les établissements pour seniors.",Service automatisé,Service,High Tech,Communication,National,EMS,B2B,Abonnement,2017/11/07,,62.02A,GE,Société par actions simplifiée,21 RUE BALZAC 75008 PARIS,75,France,No,https://www.e-lio.fr
Stravvel,889536470,Un spectacle vivant interactif et sensoriel permettant aux personnes âgées de vivre de réelles expériences de voyage par procuration dans des lieux d'hébergement et de vie collectifs.,Service automatisé,Service,High Tech,Lifestyle,National,EMS,B2B,Pay to play,2020/10/01,,60.20B,PME,Société par actions simplifiée,35 BOULEVARD SAINT-ASSISCLE 66000 PERPIGNAN,66,France,No,https://www.stravvel.com
SilverDo,891925539,"Plateforme collaborative permettant aux établissements pour seniors de gérer leurs communications internes et externes, de favoriser le lien social des habitants et d'offrir de nombreux services connectés pour améliorer l'expérience du bien-vieillir grâce au digital.",Service automatisé,Service,High Tech,Vie pratique,International (Eu),EMS,B2B,Abonnement,2020/12/02,,58.29A,PME,Société par actions simplifiée,24 RUE DE CHARONNE 75011 PARIS,75,France,No,https://www.silverdo.com
Rogervoice,792106015,"Permet aux personnes sourdes ou malentendantes de téléphoner simplement en retranscrivant les appels en texte sur l'écran via une application, tout en offrant également la possibilité de passer des appels en langue des signes ou en français parlé complété.",Service automatisé,Service,High Tech,Autonomie,International (Monde),Bénéficiaires,B2B2C,Abonnement,2013/03/20,,62.01Z,PME,Société par actions simplifiée,47 B RUE DES VINAIGRIERS 75010 PARIS,75,France,No,https://www.rogervoice.com
MONKA,901644120,"Une application combinant intelligence artificielle et expertise humaine pour accompagner les utilisateurs dans la gestion de leur santé, depuis l'apparition d'une maladie jusqu'au vieillissement.",Service automatisé,Service,High Tech,Vie pratique,National,Bénéficiaires,"B2B, B2B2C, B2C",Abonnement,2021/07/19,,82.99Z,PME,Société par actions simplifiée,92 RUE BAUDIN 92300 LEVALLOIS-PERRET,92,France,No,https://www.monka.care
Vivre à Domicile,850091570,"Accompagnement des personnes âgées, en situation de handicap ou atteintes de maladies chroniques grâce à un suivi personnalisé et des solutions adaptées pour leur bien-être à domicile.",Service automatisé,Service,High Tech,Vie pratique,Local,Bénéficiaires,"B2B2C, B2C",Subventions,2019/04/01,,88.99B,PME,Société anonyme à conseil d'administration,36 RUE PASCAL LAFITTE 40100 DAX,40,France,No,https://www.xl-autonomie.fr/
Senior Transition,799160049,"Service de recherche de logements pour les personnes âgées, facilitant l'accès à des solutions d'hébergement adaptées à leurs besoins.",Service automatisé,Service,High Tech,Vie pratique,National,EMS,B2B,Commission,2014/01/02,,88.10B,PME,Société à responsabilité limitée (SARL),250 ROUTE DE TIRAGON 06370 MOUANS-SARTOUX,06,France,No,https://www.seniortransition.fr/
Lisio,832549661,Plugin permettant de rendre tout site web compatible avec les limitations des personnes âgées ou en situation de handicap.,Service automatisé,Service,High Tech,Vie pratique,National,Entreprises,B2B,Pay to play,2017/09/11,,62.01Z,PME,Société par actions simplifiée,1 RUE DE L'EGLISE 81580 CAMBOUNET-SUR-LE-SOR,81,France,No,https://www.lisio.fr/
Jinko,949326755,"Gestion des soins pour les patients atteints de cancer, avec une application et des services en présentiel, s'inspirant des applications d'assistance existantes sur un secteur spécifique.",Service automatisé,Service,High Tech,Santé,National,Bénéficiaires,"B2B2C, B2C",Abonnement,2023/02/22,,56.10C,,Société à responsabilité limitée (SARL),77 A ROUTE DE COUTRAS 33910 SAINT-DENIS-DE-PILE,33,France,No,https://www.jinko.care/
iZi Family,818798670,"Assistance digitale qui guide et accompagne les personnes en situation de handicap ou de perte d'autonomie dans leurs démarches, en identifiant les actions à réaliser, les aides possibles et les organismes à contacter, tout en constituant automatiquement les dossiers nécessaires et en facilitant les échanges sécurisés entre proches et aidants.",Service automatisé,Service,High Tech,Vie pratique,National,Proches,B2B2C,Pay to play,2016/02/11,,62.01Z,PME,Société par actions simplifiée,17 RUE JACOB 72000 LE MANS,72,France,No,https://www.izifamily.com/
Index TV,902888676,"Bouquet de services en ligne accessible via une box télé, destiné aux seniors.",Service automatisé,Service,High Tech,Communication,National,Bénéficiaires,B2B2C,Abonnement,2021/09/01,,70.10Z,PME,Société par actions simplifiée,24 AVENUE JOANNES MASSET 69009 LYON,69,France,No,https://index.tv
Hoomiz,838587194,Service de coordination et de mise en relation entre personnes âgées et aidants professionnels.,Service automatisé,Service,High Tech,Vie pratique,National,Bénéficiaires,B2C,Marketplace,2018/05/02,,88.10A,PME,Société par actions simplifiée,42 AVENUE PAUL DOUMER 75016 PARIS,75,France,No,https://hoomiz.com
Gabby,907779680,"Application mobile de gestion et d'organisation d'événements permettant de créer, planifier et gérer des événements privés ou professionnels tout en centralisant les informations et la communication entre participants.",Service automatisé,Service,High Tech,Vie pratique,National,Bénéficiaires,B2C,Abonnement,2021/11/24,,70.22Z,PME,Société par actions simplifiée,165 AVENUE DE BRETAGNE 59000 LILLE,59,France,No,https://gabby-appli.com
Famileo,805178159,"Une plateforme numérique transforme les messages et photos partagés par les membres d'une famille en un journal papier personnalisé, qui est imprimé et envoyé mensuellement aux grands-parents pour maintenir un lien intergénérationnel chaleureux malgré la distance.",Service automatisé,Service,High Tech,Communication,International (Eu),Bénéficiaires,B2C,Abonnement,2014/10/09,,62.01Z,PME,Société par actions simplifiée,4 AVENUE LOUIS MARTIN 35400 SAINT-MALO,35,France,No,https://www.famileo.com/famileo/fr-FR/
Facil’iti,834795023,"Solution d’inclusion numérique qui adapte l’affichage des sites web en fonction des besoins des utilisateurs, facilitant une navigation plus accessible pour des personnes ayant des handicaps visuels, des troubles moteurs ou des difficultés de lecture, sans nécessiter de modifications du site d’origine.",Service automatisé,Service,High Tech,Autonomie,National,Entreprises,B2B,Pay to play,2018/01/17,,62.01Z,PME,Société par actions simplifiée,PARC ESTER TECHNOPOLE 16 RUE DE SOYOUZ 87280 LIMOGES,87,France,No,https://www.facil-iti.fr
Emotivi,525163689,"Permet aux seniors de passer des appels en visio avec leurs proches directement sur leur télévision, tout en offrant la possibilité d'envoyer des messages, vidéos et photos, favorisant ainsi le lien social et luttant contre l'isolement.",Service automatisé,Service,High Tech,Communication,National,Bénéficiaires,B2C,Abonnement,2010/09/01,,62.01Z,PME,Société par actions simplifiée,66 AVENUE DES CHAMPS ELYSEES 75008 PARIS,75,France,No,https://emotivi.fr
Click & Care,820048585,Plateforme de mise en relation et de coordination pour le maintien à domicile des personnes en perte d’autonomie et le recrutement de personnel pour les établissements sanitaires et médico-sociaux.,Service automatisé,Service,High Tech,Vie pratique,National,Bénéficiaires,B2C,Abonnement,2016/05/02,,63.12Z,PME,Société par actions simplifiée,33 AVENUE DU MAINE 75015 PARIS,75,France,No,https://clickandcare.fr
beatHealth,901742155,"Développe et commercialise des applications qui combinent rythme et santé, notamment une application musicale destinée à aider les personnes atteintes de la maladie de Parkinson à marcher.",Service automatisé,Service,High Tech,Lifestyle,National,Bénéficiaires,B2C,Abonnement,2021/08/02,,62.01Z,PME,Société par actions simplifiée,630 AVENUE DU PROFESSEUR EMILE JEANBRAU 34090 MONTPELLIER,34,France,No,https://www.beathealth.tech
Age Impulse,883606253,"Une solution de santé digitale mobile permet une caractérisation précise de l’état de forme des utilisateurs, offrant des conseils personnalisés et des entraînements intégrés basés sur la perception de l’effort, tout en utilisant un dispositif portable pour améliorer la précision de l'évaluation de la condition physique et du risque de chute.",Service automatisé,Service,High Tech,Santé,National,Bénéficiaires,B2C,Abonnement,2020/06/05,,71.12B,PME,Société par actions simplifiée,54 RUE MOLIERE 94200 IVRY-SUR-SEINE,94,France,No,https://age-impulse.com
Fondation Autonomia,491974614,"Encouragement et préservation de l'autonomie des personnes en situation de handicap, de dépendance ou concernées par toute forme d'addiction.",Service humain,Service,Low Tech,Ecosystème,,Bénéficiaires,"B2B2C, B2C, B2G",Subventions,2005/10/28,,94.99Z,PME,Fondation,48 RUE DIDOT 75014 PARIS,75,France,No,https://fondationautonomia.org/
Siel Bleu,415381987,"Une association à but non lucratif permet à chacun d'améliorer sa santé et son bien-être, indépendamment de ses capacités, de son lieu de vie et de sa situation financière.",Service humain,Service,Low Tech,Santé,National,Etat et collectivités publiques,"B2B2C, B2G",,1997/10/01,,93.19Z,ETI,Association loi 1901 ou assimilé,SIEL BLEU 42 RUE DE LA KRUTENAU 67000 STRASBOURG,67,France,No,https://www.sielbleu.org/
Teelda,932760853,"Organisation de vacances répit pour les aidants et leurs proches dépendants, avec coordination des services nécessaires tels que transport, hébergement, accompagnement et matériel médical, permettant aux aidants de partir seuls ou en groupe tout en améliorant leur santé mentale et physique ainsi que leur inclusion sociale.",Service humain,Service,Low Tech,Vie pratique,National,Proches,B2C,Commission,2024/08/15,,96.09Z,,Société par actions simplifiée,91 B RUE JEAN-PIERRE TIMBAUD 75011 PARIS,75,France,No,https://www.teelda.com/
Ecoute et Compagnie,792278772,"Accompagnement moral pour les seniors vivant à domicile, avec un soutien dédié accessible par téléphone, permettant de détecter des fragilités et de favoriser le bien-être au quotidien.",Service humain,Service,Low Tech,Communication,National,Bénéficiaires,"B2B2C, B2C",Abonnement,2013/04/01,,88.99B,,Entrepreneur individuel,"26 rue Ernest Huard, 37100 Tours",37,France,No,https://ecoute-et-compagnie.com/
Sport Santé Domicile,905350195,"Des séances d'activité physique adaptée sont offertes à domicile pour des patients de tout âge ayant des problématiques de santé variées, avec des interventions possibles dans des hôpitaux ou en EPHAD.",Service humain,Service,Low Tech,Santé,National,Bénéficiaires,"B2B, B2B2C, B2C",Commission,2021/12/01,,85.51Z,PME,Société par actions simplifiée,2 RUE JULES VERNE 89000 AUXERRE,89,France,No,www.sportsantedomicile.fr
Vivalab,,"Accélérateur soutenant l'innovation dans la prévention et le vieillissement actif, accompagnant des solutions destinées aux retraités, telles que de nouveaux services, aides techniques et projets de lieux de vie collectifs.",Service humain,Service,Low Tech,Ecosystème,National,Entreprises,B2B,Subventions,2019/02/22,,,,,,75,France,No,https://www.vivalab.fr/
CNSA,180092561,"Établissement public national gérant la branche Autonomie de la Sécurité sociale, fournissant des informations et un soutien aux familles tout en harmonisant les pratiques médico-sociales pour les personnes âgées dépendantes et les personnes handicapées en France.",Service humain,Service,Low Tech,Ecosystème,National,Etat et collectivités publiques,B2G,Subventions,2004/12/01,,84.30C,PME,Etablissement public administratif,66 AVENUE DU MAINE 75014 PARIS,75,France,No,https://www.cnsa.fr/
Les Infatigables,908104656,Accompagnement des entreprises pour valoriser les talents expérimentés et dynamiser la carrière des personnes de plus de 50 ans grâce à des parcours de formation dédiés.,Service humain,Service,Low Tech,Communication,National,Entreprises,"B2B, B2C",Pay to play,2021/12/03,,93.29Z,PME,Société par actions simplifiée,7 RUE DU PROGRES 93100 MONTREUIL,93,France,No,https://www.lesinfatigables.fr/
Heka avocats,844532127,"Cabinet d'avocats spécialisé en droit du travail, offrant des conseils, audits et contentieux dans les secteurs social et médico-social.",Service humain,Service,Low Tech,Ecosystème,National,Entreprises,B2B,Pay to play,2018/11/30,,69.10Z,PME,Société à responsabilité limitée (SARL),2 PLACE GAILLETON 69002 LYON,69,France,No,https://heka-avocats.com/
"association Nous Tous ",922331277,Un service de coordination de développement social favorise la participation sociale des personnes retraitées pour préserver leur santé et en faire profiter la communauté.,Service humain,Service,Low Tech,Lifestyle,Local,Bénéficiaires,"B2B, B2B2C, B2C",Subventions,2022/10/03,,88.99B,,Association loi 1901 ou assimilé,18 IMPASSES DES TULIPES 27400 INCARVILLE,27,France,No,https://noustous-normandie.com/
TIcGRE,805063526,Favorise l'entrepreneuriat intergénérationnel en mettant en relation des porteurs de projets et des personnes disposant de compétences complémentaires pour créer ou reprendre une entreprise ensemble.,Service humain,Service,Low Tech,Ecosystème,National,Entreprises,"B2B, B2C",Subventions,2014/09/03,,94.99Z,PME,Association loi 1901 ou assimilé,8 BOULEVARD DE LA BASTILLE 75012 PARIS,75,France,No,https://www.tigcre.org/
Ville à Joie,892793720,"Des services publics, numériques, de santé et des animations sont ramenés au service des seniors dans les villages dépourvus de ces ressources, sous la forme de fêtes de villages itinérantes.",Service humain,Service,Low Tech,Vie pratique,International (Eu),Etat et collectivités publiques,B2G,Subventions,2021/01/07,,82.30Z,PME,Société par actions simplifiée,96 ROUTE DE L'ALLIER 58240 LIVRY,58,France,No,https://villeajoie.fr/
Matières Grises,432843548,"Think tank consacré à l’adaptation de la société au vieillissement, réalisant des études socio-démographiques et des analyses économiques sur l'avenir du secteur, tout en sensibilisant les pouvoirs publics et la société civile aux enjeux majeurs.",Service humain,Service,Low Tech,Ecosystème,National,Entreprises,B2B,Abonnement,2018/04/01,,70.22Z,PME,Société à responsabilité limitée (SARL),55 B RUE DE LYON 75012 PARIS,75,France,No,
SilverOcc,853326981,"Cluster dédié à la Silver Économie, fédérant des entreprises et acteurs locaux pour innover en faveur du bien-vieillir et promouvoir des solutions adaptées aux seniors.",Service humain,Service,Low Tech,Ecosystème,National,Entreprises,B2B,Abonnement,2019/08/19,,94.99Z,PME,Association loi 1901 ou assimilé,CHEZ ANISEN TECHNOPARC 1 1110 L’OCCITANE 31670 LABEGE,31,France,No,https://www.silverocc.fr/
Jubiliz,890397789,Accompagnement humain à la transition retraite pour les collaborateurs seniors et les bénéficiaires jeunes et futurs retraités.,Service humain,Service,Low Tech,Vie pratique,National,Entreprises,"B2B, B2B2C",Autre,2020/10/22,,70.22Z,PME,Société par actions simplifiée,2 SQUARE DOCTEUR GUERIN 35000 RENNES,35,France,No,https://jubiliz.fr
Gérond’if,822452181,"Réseau d'expertise dédié à la recherche, l'innovation et la formation pour améliorer la qualité de vie des seniors, lutter contre l'âgisme et développer des solutions favorisant l'autonomie et le bien vieillir.",Service humain,Service,Low Tech,Ecosystème,Local,Entreprises,B2B,Subventions,2016/09/03,,94.99Z,PME,Association loi 1901 ou assimilé,33 RUE DU FER A MOULIN 75005 PARIS,75,France,No,https://www.gerondif.org/
Gérontopôle Pays de la Loire,529999088,"Réseau d’acteurs engagé dans le bien vieillir, soutenant la formation, la recherche et l’innovation en silver économie, tout en accompagnant les politiques territoriales pour répondre aux défis du vieillissement.",Service humain,Service,Low Tech,Ecosystème,Local,Entreprises,B2B,Abonnement,2010/12/30,,94.99Z,PME,Association loi 1901 ou assimilé,8 RUE ARTHUR III 44200 NANTES,44,France,No,https://www.gerontopole-paysdelaloire.fr/
Gérontopôle AURA,810041913,"Réseau fédérant les acteurs de la recherche, du soin et des politiques publiques pour favoriser l'innovation et améliorer la qualité de vie des personnes âgées à travers des projets en santé, urbanisme, prévention et silver économie.",Service humain,Service,Low Tech,Ecosystème,Local,Entreprises,B2B,Abonnement,2012/10/19,,94.99Z,PME,Association loi 1901 ou assimilé,HOPITAL BELLEVUE - PAVILLON 22 25 BOULEVARD PASTEUR 42100 SAINT-ETIENNE,42,France,No,https://www.gerontopole-aura.fr/
"KOZH Ensemble ",828031187,"Réseau d’expertise et d’innovation dédié à l’accompagnement du vieillissement de la population, fédérant acteurs publics et privés autour de projets en urbanisme, santé, mobilité, et silver économie.",Service humain,Service,Low Tech,Ecosystème,Local,Entreprises,B2G,Abonnement,2016/03/22,,94.99Z,PME,Association loi 1901 ou assimilé,8 BOULEVARD DE BEAUMONT 35000 RENNES,35,France,No,http://kozhensemble.fr/
Gérontopôle Sud,845274240,"Centre régional de compétences qui développe des initiatives en santé, logement, mobilité, inclusion sociale et silver économie pour favoriser le bien vieillir en région Sud.",Service humain,Service,Low Tech,Ecosystème,Local,Entreprises,B2B,Abonnement,2018/11/07,,94.12Z,PME,Association loi 1901 ou assimilé,FACULTE DE MEDECINE 27 BOULEVARD JEAN MOULIN 13005 MARSEILLE,13,France,No,https://www.gerontopolesud.fr/
Banque des territoires,180020026,"Finance et accompagne des projets visant à renforcer le développement des territoires en soutenant l'habitat, les infrastructures, la transition écologique et les services publics locaux.",Service humain,Service,Low Tech,Ecosystème,National,Etat et collectivités publiques,"B2B, B2G",Subventions,1982/01/01,,64.19Z,GE,Autre personne morale de droit public administratif,56 RUE DE LILLE 75007 PARIS,75,France,No,https://www.banquedesterritoires.fr/
Assurance retraite (CNAV) Ile-de-France,180035032,"Organisme chargé de la gestion des pensions de retraite dans la région, offrant des services d'information, d'accompagnement et d'aides pour préparer et gérer la retraite.",Service humain,Service,Low Tech,Ecosystème,Local,Bénéficiaires,"B2B, B2C, B2G",Commission,1983/03/01,,84.30A,ETI,Etablissement public administratif,DRH A L ATTN DE MME GAMEL DOMINIQUE 110 AVENUE DE FLANDRE 75019 PARIS,75,France,No,https://www.lassuranceretraite-idf.fr/home.html
